Date,Open,High,Low,Close,Adj Close,Volume
2001-10-01,33.500000,38.099998,32.049999,32.599998,21.447121,125074600
2001-11-01,32.500000,36.250000,31.580000,35.099998,23.091839,84489300
2001-12-01,35.099998,39.419998,34.029999,38.779999,25.642559,69709300
2002-01-01,38.540001,41.889999,37.650002,40.950001,27.077435,80548400
2002-02-01,41.000000,47.470001,40.500000,45.959999,30.390202,77223700
2002-03-01,46.549999,51.070000,45.250000,48.250000,32.037582,74848200
2002-04-01,48.250000,50.049999,41.000000,44.599998,29.614006,102356900
2002-05-01,44.900002,46.029999,42.459999,42.650002,28.319242,60754000
2002-06-01,43.400002,45.090000,41.450001,45.000000,29.991726,56211000
2002-07-01,44.970001,45.279999,37.099998,41.520000,27.672354,97626200
2002-08-01,41.000000,41.650002,34.099998,37.070000,24.706516,92061100
2002-09-01,36.799999,37.799999,33.200001,34.130001,22.851397,66248400
2002-10-01,34.320000,36.020000,28.530001,29.750000,19.918816,110612900
2002-11-01,29.790001,35.139999,29.559999,34.049999,22.797827,81189500
2002-12-01,34.599998,34.880001,31.250000,32.990002,22.207369,55484500
2003-01-01,33.000000,34.590000,30.200001,31.590000,21.264952,56222600
2003-02-01,30.900000,31.629999,27.240000,27.559999,18.552139,64693900
2003-03-01,27.700001,28.420000,24.730000,25.059999,16.961546,102161300
2003-04-01,25.370001,28.660000,25.200001,27.280001,18.464136,99215500
2003-05-01,27.170000,30.860001,27.000000,30.670000,20.758608,92016400
2003-06-01,31.100000,37.360001,31.000000,34.320000,23.363478,108420900
2003-07-01,34.099998,35.549999,31.160000,33.119999,22.546577,90229500
2003-08-01,32.709999,37.459999,31.000000,37.389999,25.453400,66343600
2003-09-01,37.290001,38.900002,33.660000,34.330002,23.492752,69764000
2003-10-01,34.500000,39.209999,34.400002,38.490002,26.339529,67044700
2003-11-01,38.540001,40.150002,37.610001,38.389999,26.271105,57725000
2003-12-01,37.599998,43.369999,37.599998,42.139999,28.965803,75988600
2004-01-01,42.500000,44.709999,41.470001,41.750000,28.697746,63605500
2004-02-01,41.669998,45.099998,41.599998,43.369999,29.811272,69555100
2004-03-01,43.380001,43.869999,38.040001,41.070000,28.340393,70860900
2004-04-01,41.070000,44.900002,40.310001,42.689999,29.458277,53867200
2004-05-01,43.250000,46.619999,42.290001,45.799999,31.604336,63649200
2004-06-01,45.900002,51.490002,45.509998,51.090000,35.419380,75091100
2004-07-01,50.099998,51.250000,46.400002,50.750000,35.183659,67542700
2004-08-01,50.200001,52.820000,48.270000,52.220001,36.202774,65486800
2004-09-01,52.099998,55.240002,50.500000,51.619999,35.931652,62223000
2004-10-01,51.619999,52.869999,48.099998,49.900002,34.734406,69454500
2004-11-01,50.099998,55.480000,49.650002,53.570000,37.289021,71858700
2004-12-01,53.599998,55.290001,51.619999,51.770000,36.175022,63851600
2005-01-01,51.849998,52.250000,49.520000,50.599998,35.357479,68299400
2005-02-01,50.599998,55.049999,50.220001,54.970001,38.411064,75073700
2005-03-01,54.980000,58.939999,54.259998,58.459999,41.041523,93509800
2005-04-01,58.549999,60.099998,56.220001,59.520000,41.785694,83662100
2005-05-01,59.520000,64.199997,58.619999,63.900002,44.860668,83911100
2005-06-01,63.950001,66.849998,59.700001,66.000000,46.525513,103728600
2005-07-01,65.779999,67.949997,63.450001,66.010002,46.532558,70775300
2005-08-01,66.300003,68.379997,65.599998,67.019997,47.244541,63232300
2005-09-01,66.650002,68.250000,62.009998,67.949997,48.079178,87863000
2005-10-01,67.919998,68.980003,63.700001,64.639999,45.737122,96368300
2005-11-01,65.000000,69.900002,64.199997,68.190002,48.248989,84124100
2005-12-01,68.349998,72.400002,68.320000,70.239998,49.889374,67947300
2006-01-01,70.400002,71.269997,65.900002,68.309998,48.518551,76958400
2006-02-01,70.000000,74.889999,70.000000,72.690002,51.629536,74037100
2006-03-01,72.559998,79.500000,71.900002,77.930000,55.584404,66651200
2006-04-01,78.250000,87.250000,77.500000,83.449997,59.521606,71813900
2006-05-01,83.449997,89.580002,81.209999,83.250000,59.378937,82124900
2006-06-01,83.599998,86.230003,76.400002,81.910004,58.623062,101961400
2006-07-01,81.349998,84.059998,76.889999,77.419998,55.409565,84047900
2006-08-01,77.419998,80.830002,72.900002,74.900002,53.605988,89738100
2006-09-01,75.000000,80.349998,72.129997,78.849998,56.650482,78827000
2006-10-01,79.349998,84.389999,77.769997,79.860001,57.376137,99571700
2006-11-01,80.010002,92.050003,79.110001,88.529999,63.605164,110028000
2006-12-01,89.599998,91.849998,88.349998,88.839996,64.054352,62864400
2007-01-01,88.900002,90.339996,84.599998,89.559998,64.573509,91900700
2007-02-01,89.949997,92.239998,85.239998,87.260002,62.915161,82094900
2007-03-01,86.599998,91.870003,85.910004,88.910004,64.352386,87688500
2007-04-01,88.900002,95.580002,88.080002,93.000000,67.312698,87978700
2007-05-01,93.150002,100.959999,92.379997,100.589996,72.806259,86799000
2007-06-01,101.449997,101.449997,93.580002,96.160004,69.859406,94558300
2007-07-01,96.720001,107.830002,96.269997,103.430000,75.141060,107692500
2007-08-01,103.029999,106.349998,90.080002,96.699997,70.251724,136928600
2007-09-01,96.099998,106.150002,94.019997,104.989998,76.533867,107584100
2007-10-01,105.449997,107.150002,92.000000,98.589996,71.868507,184091500
2007-11-01,98.300003,98.669998,86.750000,92.540001,67.458260,139211300
2007-12-01,92.500000,93.639999,85.550003,87.459999,63.984367,124346500
2008-01-01,87.570000,87.839996,74.120003,83.180000,60.853168,183593300
2008-02-01,83.370003,86.879997,78.709999,82.790001,60.567841,114896600
2008-03-01,79.320000,81.320000,71.589996,74.370003,54.675636,158008800
2008-04-01,75.019997,86.449997,74.040001,84.860001,62.387684,149974300
2008-05-01,84.860001,88.290001,80.550003,82.769997,60.851189,108920400
2008-06-01,82.610001,82.610001,65.550003,65.720001,48.541679,172686900
2008-07-01,64.949997,69.500000,61.009998,61.110001,45.136662,172145400
2008-08-01,61.389999,68.750000,60.770000,65.559998,48.423485,133037900
2008-09-01,67.000000,68.470001,54.200001,57.349998,42.620960,169175700
